City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,8,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
1,17,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,19,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
3,25,Butaritari,KI,82.24,light rain,3.0707,172.7902,Isles Sunset Lodge
4,28,Bodden Town,KY,82.4,broken clouds,19.2833,-81.25,Will T Place
5,38,Sulya,IN,75.24,broken clouds,12.5667,75.3833,KFDC Guest House - Karnataka Forest Development Corporation Ltd
6,39,Sao Filipe,CV,79.56,overcast clouds,14.8961,-24.4956,Hotel Xaguate
7,43,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
8,51,Kirakira,SB,86.68,overcast clouds,-10.4544,161.9205,SanBiz Lodge
9,55,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
10,60,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
11,61,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,65,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
13,67,Vanimo,PG,82.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
14,70,Teknaf,BD,78.42,overcast clouds,20.8624,92.3058,Forestry Guesthouse
15,72,Prainha,BR,78.48,overcast clouds,-1.8,-53.48,Casa Rocha
16,74,Victoria,HK,80.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
17,78,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
18,80,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
19,83,Bubaque,GW,82.87,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
20,88,Sena Madureira,BR,78.66,overcast clouds,-9.0656,-68.6569,Hotel Central
21,89,Kampot,KH,84.25,scattered clouds,10.6167,104.1833,Two Moons Hotel
22,93,Port Pirie,AU,77.09,few clouds,-33.1833,138.0167,John Pirie Motor Inn
23,98,Pochutla,MX,76.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
24,101,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
25,103,Coolum Beach,AU,75.11,broken clouds,-26.5333,153.1,Palmer Coolum Resort
26,105,Dong Hoi,VN,78.46,overcast clouds,17.4833,106.6,Nam Long Hotel
27,108,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
28,113,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
29,118,Dzaoudzi,YT,78.69,few clouds,-12.7887,45.2699,Le Rocher
30,127,Eyl,SO,76.8,few clouds,7.9803,49.8164,Amiin Hotel
31,130,Atar,MR,80.2,clear sky,20.5169,-13.0499,Oumou Elghoura
32,135,San Patricio,US,75.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
33,139,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
34,142,Atuona,PF,78.73,clear sky,-9.8,-139.0333,Villa Enata
35,148,Krabi,TH,82.98,scattered clouds,8.0726,98.9105,Tharapark View Hotel
36,151,Bengkulu,ID,80.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,152,Cabo San Lucas,MX,81.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
38,154,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
40,156,Langsa,ID,81.64,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
41,158,Ewa Beach,US,83.57,few clouds,21.3156,-158.0072,Uncle Junior Robert
42,160,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
43,171,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
44,173,Coruripe,BR,76.33,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
45,179,Faanui,PF,78.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,180,Kavieng,PG,85.89,broken clouds,-2.5744,150.7967,Nusa Island Retreat
47,184,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
48,190,Cukai,MY,82.35,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
49,191,Axim,GH,77.76,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
50,194,Abu Dhabi,AE,80.62,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
51,198,Maragogi,BR,76.57,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
52,203,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
53,220,Matara,LK,79.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
54,221,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
55,222,Banda Aceh,ID,81.95,overcast clouds,5.5577,95.3222,Sulthan Hotel International
57,224,Airai,TL,76.42,broken clouds,-8.9266,125.4092,Juvinal Martin
58,231,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
59,241,Sola,VU,80.91,few clouds,-13.8833,167.55,Leumerus Bungalows
60,249,Savannah Bight,HN,79.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
61,251,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
62,255,Mecca,SA,77.61,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
63,259,Flinders,AU,76.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
64,260,Dwarka,IN,78.6,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
65,263,Martapura,ID,80.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
67,269,Alugan,PH,82.4,broken clouds,12.2188,125.4808,JM Lodge
68,270,Salinopolis,BR,79.43,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
69,272,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
70,287,Port Blair,IN,82.99,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
71,289,Itaituba,BR,75.63,scattered clouds,-4.2761,-55.9836,Hotel Campos
72,291,Funadhoo,MV,81.7,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
74,298,Sokoni,TZ,79.34,clear sky,-6.4333,39.55,Ujamaa Beach Resort
75,299,Sinnamary,GF,78.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
76,300,Chabahar,IR,80.6,clear sky,25.2919,60.643,هتل گدروشیا
77,302,Namatanai,PG,85.46,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
78,304,Mareeba,AU,89.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
79,305,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
80,307,Kudahuvadhoo,MV,83.46,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
81,311,Barahona,DO,78.69,scattered clouds,18.2085,-71.1008,Hotel Caribe
82,315,Emerald,AU,78.94,scattered clouds,-23.5333,148.1667,The Irish Village
83,321,Puerto Carreno,CO,77.2,moderate rain,6.189,-67.4859,Casa Hotel Victoria
84,323,Harper,LR,77.27,overcast clouds,4.375,-7.7169,Screensaver
85,326,Nueva Fuerza,PH,83.8,broken clouds,9.8464,124.167,Banlasan Lodge
86,328,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
87,329,Dicabisagan,PH,82.26,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
88,330,Honiara,SB,83.46,overcast clouds,-9.4333,159.95,Heritage Park Hotel
89,332,Curuca,BR,75.18,broken clouds,-0.7289,-47.8481,Hotel Curuça
90,336,Paciran,ID,85.78,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
91,337,Ocos,GT,80.31,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
92,339,Sur,OM,80.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
93,347,Port-Gentil,GA,78.4,moderate rain,-0.7193,8.7815,Fengshui Residence
94,350,Tagnanan,PH,86.11,scattered clouds,7.2836,125.8422,Beach View Resort
95,352,Samarai,PG,83.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
96,353,Dubti,ET,78.31,clear sky,11.7361,41.0853,degu Shiferaw
97,355,Cururupu,BR,75.85,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
98,361,Coahuayana,MX,76.75,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
99,362,Hervey Bay,AU,79.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
100,363,Oriximina,BR,77.63,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
101,368,Anloga,GH,82.62,light rain,5.7947,0.8973,Pin Drop Hotel
102,374,Ulladulla,AU,77.77,broken clouds,-35.35,150.4667,Sandpiper Motel
103,386,Kroya,ID,82.35,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
104,390,Itarema,BR,80.19,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
105,391,Jambi,ID,79.0,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
106,402,Goya,AR,82.63,overcast clouds,-29.14,-59.2626,Apart Costanera Goya
107,403,Bac Lieu,VN,83.25,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
108,406,Dangriga,BZ,80.98,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
109,407,Koungou,YT,78.51,few clouds,-12.7336,45.2042,Villa Netibor
110,408,Mahina,PF,83.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
111,412,Gat,IL,75.4,overcast clouds,31.61,34.7642,OlusHome
112,424,Lorengau,PG,81.03,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,425,Manzanillo,CU,75.56,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
114,426,Poum,NC,75.83,clear sky,-20.2333,164.0167,Gîte kajeon
115,430,Bo Rai,TH,86.11,overcast clouds,12.5728,102.5371,Baiboon Resort
116,431,Tayu,ID,86.63,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
117,434,Tual,ID,84.31,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
118,436,Japaratuba,BR,78.08,overcast clouds,-10.5933,-36.9403,Pousada Japaratuba
119,439,Calamar,CO,76.95,overcast clouds,10.2511,-74.9146,Hostal Katyalex
120,440,Sao Jose Da Coroa Grande,BR,76.69,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
121,443,San Luis Rio Colorado,MX,83.17,few clouds,32.4631,-114.7767,María Isabel Hernández Jiménez José de
