City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bad Freienwalde,DE,2021-11-01 01:38:07,52.7873,14.0304,53.76,75,100,12.97,overcast clouds
1,New Norfolk,AU,2021-11-01 01:38:07,-42.7826,147.0587,64.65,49,100,4.0,overcast clouds
2,Tasiilaq,GL,2021-11-01 01:38:08,65.6145,-37.6368,23.16,58,5,8.1,clear sky
3,Busselton,AU,2021-11-01 01:33:54,-33.65,115.3333,59.04,59,70,20.33,broken clouds
4,Salalah,OM,2021-11-01 01:38:08,17.0151,54.0924,71.69,60,0,3.44,clear sky
5,Cape Town,ZA,2021-11-01 01:33:25,-33.9258,18.4232,63.09,78,75,1.01,light rain
6,Rikitea,PF,2021-11-01 01:35:08,-23.1203,-134.9692,73.06,77,100,16.73,overcast clouds
7,Dana Point,US,2021-11-01 01:35:15,33.467,-117.6981,67.93,84,81,1.01,broken clouds
8,Saint-Georges,GD,2021-11-01 01:38:10,12.0564,-61.7485,80.28,78,40,5.75,scattered clouds
9,Wembley,AU,2021-11-01 01:38:10,-31.9333,115.8,65.03,52,75,19.57,broken clouds
10,East London,ZA,2021-11-01 01:38:11,-33.0153,27.9116,64.78,83,88,13.42,overcast clouds
11,Zhigansk,RU,2021-11-01 01:37:26,66.7697,123.3711,5.74,94,99,15.82,overcast clouds
12,Correntina,BR,2021-11-01 01:38:11,-13.3433,-44.6367,73.56,64,87,2.35,overcast clouds
13,Ilo,PE,2021-11-01 01:38:12,-17.6394,-71.3375,63.66,85,6,4.52,clear sky
14,Puerto Ayora,EC,2021-11-01 01:35:13,-0.7393,-90.3518,69.24,91,43,6.64,scattered clouds
15,Hermanus,ZA,2021-11-01 01:34:58,-34.4187,19.2345,61.81,81,100,10.47,overcast clouds
16,Yellowknife,CA,2021-11-01 01:37:54,62.456,-114.3525,32.56,99,90,14.97,overcast clouds
17,Hilo,US,2021-11-01 01:38:13,19.7297,-155.09,80.33,78,40,9.22,scattered clouds
18,Rocha,UY,2021-11-01 01:33:58,-34.4833,-54.3333,63.03,99,95,3.71,overcast clouds
19,Avarua,CK,2021-11-01 01:35:41,-21.2078,-159.775,77.05,69,75,17.27,broken clouds
20,Acari,PE,2021-11-01 01:38:14,-15.4311,-74.6158,69.26,67,53,3.09,broken clouds
21,Albany,US,2021-11-01 01:38:09,42.6001,-73.9662,55.36,78,100,11.1,overcast clouds
22,Cehegin,ES,2021-11-01 01:38:15,38.0924,-1.7985,71.24,67,100,12.55,overcast clouds
23,Iguatemi,BR,2021-11-01 01:38:15,-23.6803,-54.5611,71.15,93,0,4.81,clear sky
24,Saskylakh,RU,2021-11-01 01:33:17,71.9167,114.0833,3.87,97,99,6.4,overcast clouds
25,Butaritari,KI,2021-11-01 01:38:16,3.0707,172.7902,82.24,74,2,10.69,light rain
26,Hasaki,JP,2021-11-01 01:37:23,35.7333,140.8333,64.29,71,100,4.72,overcast clouds
27,Palafrugell,ES,2021-11-01 01:38:17,41.9174,3.1631,65.57,58,100,4.29,overcast clouds
28,Bodden Town,KY,2021-11-01 01:38:08,19.2833,-81.25,82.4,75,75,5.01,broken clouds
29,Arys,KZ,2021-11-01 01:38:18,42.4252,68.795,39.42,60,8,2.82,clear sky
30,Jamestown,US,2021-11-01 01:33:21,42.097,-79.2353,50.34,86,90,13.0,overcast clouds
31,Lavrentiya,RU,2021-11-01 01:36:29,65.5833,-171.0,13.21,78,100,10.31,overcast clouds
32,Nikolskoye,RU,2021-11-01 01:38:18,59.7035,30.7861,47.39,91,99,6.04,overcast clouds
33,Hofn,IS,2021-11-01 01:38:19,64.2539,-15.2082,39.6,60,99,29.48,overcast clouds
34,Prestea,GH,2021-11-01 01:38:20,5.4327,-2.1428,74.14,95,100,5.64,overcast clouds
35,Vrises,GR,2021-11-01 01:38:20,35.492,23.8899,65.19,85,87,7.4,overcast clouds
